mask,index,timestamp,keyframe_index,group,valid_pixel_count,retained_fraction,median_m,p90_m,p95_m,p99_m,max_m,fraction_gt_0_30,global_top1_contribution,confidence_0_fraction_m0,confidence_1_fraction_m0,confidence_2_fraction_m0,zero_valid_depth
M0_RAW_POSITIVE,74,653434.695,74,2,49152,1.0,0.017099997960031033,0.08485327214002616,0.13463531434535952,0.21564806669950484,0.6740901470184326,0.0016072591145833333,0.00013309756051185518,0.0953369140625,0.15120442708333334,0.7534586588541666,False
M1_CONFIDENCE_GE1,74,653434.695,74,2,44466,0.9046630859375,0.015767045319080353,0.050642114132642746,0.08783154748380184,0.15253430679440497,0.42552733421325684,0.0001799127423199748,0.0,0.0953369140625,0.15120442708333334,0.7534586588541666,False
M2_CONFIDENCE_EQ2,74,653434.695,74,2,37034,0.7534586588541666,0.014475126285105944,0.03472204133868219,0.05024284869432446,0.10672493770718569,0.21331292390823364,0.0,0.0,0.0953369140625,0.15120442708333334,0.7534586588541666,False
M0_RAW_POSITIVE,75,653434.895,75,2,49152,1.0,0.016015672124922276,0.09881083741784111,0.1476529926061628,0.33818504601716975,0.6286172866821289,0.013529459635416666,0.0006179529595193277,0.088623046875,0.1915283203125,0.7198486328125,False
M1_CONFIDENCE_GE1,75,653434.895,75,2,44796,0.911376953125,0.015038885176181793,0.0690298043191433,0.11488580517470837,0.191225302964449,0.4213786721229553,0.0014733458344495043,0.0,0.088623046875,0.1915283203125,0.7198486328125,False
M2_CONFIDENCE_EQ2,75,653434.895,75,2,35382,0.7198486328125,0.013264901470392942,0.033225991204380995,0.04473875109106302,0.11581204503774643,0.18699470162391663,0.0,0.0,0.088623046875,0.1915283203125,0.7198486328125,False
M0_RAW_POSITIVE,76,653435.095,76,2,49152,1.0,0.39323732256889343,0.5747573554515839,0.5823130398988724,0.6580609029531476,0.713087260723114,0.6164754231770834,0.14956363014089327,1.0,0.0,0.0,False
M1_CONFIDENCE_GE1,76,653435.095,76,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,True
M2_CONFIDENCE_EQ2,76,653435.095,76,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,True
M0_RAW_POSITIVE,77,653435.295,77,2,49152,1.0,0.417104110121727,0.5898825645446777,0.627199849486351,0.6833623176813125,0.7105434536933899,0.74114990234375,0.15888996634533112,0.99658203125,0.00341796875,0.0,False
M1_CONFIDENCE_GE1,77,653435.295,77,2,168,0.00341796875,0.2905917316675186,0.34652126729488375,0.3558802530169487,0.36657967746257786,0.37222743034362793,0.42857142857142855,0.0,0.99658203125,0.00341796875,0.0,False
M2_CONFIDENCE_EQ2,77,653435.295,77,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99658203125,0.00341796875,0.0,True
