trial_scope,source_run_id,trial_id,N_all,N_formal_replayable,N_diagnostic_reconstructable,N_not_replayable,N_L2_reached,N_L2_reachability_unknown,N_L2_candidate_evaluated,N_L2_PASS,N_L2_FAIL,N_L2_UNKNOWN,formal_replay_coverage
PR87_ACTIVATED_ONE_STEP|E1_REPLICA_GT_FINE:B0_CURRENT_CBF_ONLY:5495cb05511f8a8104978641f88c57a83abb4da80c0489475be91cee92d9def0,PR87_ACTIVATED_ONE_STEP,E1_REPLICA_GT_FINE:B0_CURRENT_CBF_ONLY:5495cb05511f8a8104978641f88c57a83abb4da80c0489475be91cee92d9def0,1,1,0,0,0,1,0,0,0,0,1.0
PR87_ACTIVATED_ONE_STEP|E1_REPLICA_GT_FINE:B0_CURRENT_CBF_ONLY:54e827db44a49c92403af8c44840d73ea0540be2040a456c80d1bf0a80325a1d,PR87_ACTIVATED_ONE_STEP,E1_REPLICA_GT_FINE:B0_CURRENT_CBF_ONLY:54e827db44a49c92403af8c44840d73ea0540be2040a456c80d1bf0a80325a1d,1,1,0,0,0,1,0,0,0,0,1.0
PR87_ACTIVATED_ONE_STEP|E1_REPLICA_GT_FINE:B0_CURRENT_CBF_ONLY:582f03c9a2af338510502189d48da808781b6f85986da9e106a7a2fdb5b61055,PR87_ACTIVATED_ONE_STEP,E1_REPLICA_GT_FINE:B0_CURRENT_CBF_ONLY:582f03c9a2af338510502189d48da808781b6f85986da9e106a7a2fdb5b61055,1,1,0,0,0,1,0,0,0,0,1.0
PR87_ACTIVATED_ONE_STEP|E1_REPLICA_GT_FINE:B0_CURRENT_CBF_ONLY:5f5e80f83c4431242624e900d938f8d85ea286c5505e34378dee68623f4ad915,PR87_ACTIVATED_ONE_STEP,E1_REPLICA_GT_FINE:B0_CURRENT_CBF_ONLY:5f5e80f83c4431242624e900d938f8d85ea286c5505e34378dee68623f4ad915,1,1,0,0,0,1,0,0,0,0,1.0
PR87_ACTIVATED_ONE_STEP|E1_REPLICA_GT_FINE:B0_CURRENT_CBF_ONLY:61366554935ad97dde99387ae8861614ca89e2548c6b329ec8ffaaab58abb29a,PR87_ACTIVATED_ONE_STEP,E1_REPLICA_GT_FINE:B0_CURRENT_CBF_ONLY:61366554935ad97dde99387ae8861614ca89e2548c6b329ec8ffaaab58abb29a,1,0,0,1,0,1,0,0,0,0,0.0
PR87_ACTIVATED_ONE_STEP|E1_REPLICA_GT_FINE:B0_CURRENT_CBF_ONLY:63f367bfbdf467fdbb667d0bc2d17e7c374a59d5da9f689a7ae158feac14f0eb,PR87_ACTIVATED_ONE_STEP,E1_REPLICA_GT_FINE:B0_CURRENT_CBF_ONLY:63f367bfbdf467fdbb667d0bc2d17e7c374a59d5da9f689a7ae158feac14f0eb,1,0,0,1,0,1,0,0,0,0,0.0
PR87_ACTIVATED_ONE_STEP|E1_REPLICA_GT_FINE:B0_CURRENT_CBF_ONLY:67488e99a304e8c46139402ea461364083d17399e3ebb9cd99516fe4897353b8,PR87_ACTIVATED_ONE_STEP,E1_REPLICA_GT_FINE:B0_CURRENT_CBF_ONLY:67488e99a304e8c46139402ea461364083d17399e3ebb9cd99516fe4897353b8,1,1,0,0,0,1,0,0,0,0,1.0
PR87_ACTIVATED_ONE_STEP|E1_REPLICA_GT_FINE:B0_CURRENT_CBF_ONLY:68b0f37ae8be205222bdb9ee2af598e380f218a844aeefcb7a91fac1ea3c91a0,PR87_ACTIVATED_ONE_STEP,E1_REPLICA_GT_FINE:B0_CURRENT_CBF_ONLY:68b0f37ae8be205222bdb9ee2af598e380f218a844aeefcb7a91fac1ea3c91a0,1,0,0,1,0,1,0,0,0,0,0.0
PR87_ACTIVATED_ONE_STEP|E1_REPLICA_GT_FINE:B0_CURRENT_CBF_ONLY:6c3a9b360259f057628995472c40aeebf9cb55cf86199fc9ba3d05eb5b7f1323,PR87_ACTIVATED_ONE_STEP,E1_REPLICA_GT_FINE:B0_CURRENT_CBF_ONLY:6c3a9b360259f057628995472c40aeebf9cb55cf86199fc9ba3d05eb5b7f1323,1,1,0,0,0,1,0,0,0,0,1.0
PR87_ACTIVATED_ONE_STEP|E1_REPLICA_GT_FINE:B0_CURRENT_CBF_ONLY:6f7adbb9fec89e634eeac5fef1500ad938acb8b3014a18853e30bccdfbd00d00,PR87_ACTIVATED_ONE_STEP,E1_REPLICA_GT_FINE:B0_CURRENT_CBF_ONLY:6f7adbb9fec89e634eeac5fef1500ad938acb8b3014a18853e30bccdfbd00d00,1,1,0,0,0,1,0,0,0,0,1.0
